Medicine,Condition,Review
Dulaglutide,"Diabetes, Type 2","""I have been taking Trulicity for 12 weeks and lost 8lbs and my sugars are the lowest they have ever been. I have not had an A1C done since I started this medication but I am sure it has dropped. I do experience some of the side effects such as nausea and tiredness and I have no appetite at all and when I do eat I am full very quickly. I am on the higher dose and I have reduced the amount of Lantus I take by 20units daily. I do experience morning lows a lot more but a glass of OJ helps. I am anxious to see my doctor and get an A1C done."""
Glucophage,"Diabetes, Type 2","""I have been taking Glucophage for 11 years.  I have never had any side effects at all and my blood sugar level is always good."""
Empagliflozin / linagliptin,"Diabetes, Type 2","""I have taken this medicine for about 6 months.   My A1C was 9.6 and it is now 7.2. I also has loss weight 18 pounds. Just walking about  3 times a week.   No other side affects.  I am happy that my doctor started my on it.  This med along with metformin is working for me."""
Pioglitazone,"Diabetes, Type 2","""I had never had any medicines that controlled my blood sugar levels like ACTOS. I am so happy to stay in my 100 realm."""
Victoza,"Diabetes, Type 2","""I have been taking Victoza 1.2mg for about a year along with 1000mg Metformin 2x per day. When I first started it I was on the 0.6mg dose and I had zero side effects but since upping to 1.2mg I have had constant nausea and very little appetite. I occasionally will get powerful sulfur burps followed by vomiting. The medicine does keep my sugar under control, my last A1C was 6.0. """
Metformin,"Diabetes, Type 2","""Diagnosed as &quot;pre-diabetic&quot;, A1C 5.9. GP said my triglycerides high and prescribed metformin 500 mg twice a day.

1 pill a day had no obvious side effects. Adding pill #2 gave diarrhea if taken at the same time. So I shifted pill #2 to lunch and it gave diarrhea after 2 days in a row.

So I worked my way up to 2 a day. Mon &amp; Thur for month. Mon/Wed/Fri for a month.  Etc.

My A1C is now 5.3-5.7, with my insurance the generic is super cheap  (less than $1/month), and if I have diarrhea for any reason I skip the 2nd daily pill.

Metformin is working fine for me."""
Exenatide,"Diabetes, Type 2","""On the package, it clearly states, that of the view of the medication does not like it shows in the booklet, then discard it. So far in 6 weeks, I have had to throw 2 pens away. A very expensive procedure for me. Is there a method to recover the lost money or replace the defective pens?"""
Dulaglutide,"Diabetes, Type 2","""I started .75 dose in November of 2016. It immediately curbed my appetite and helped me lose 37 lbs by Feb 2017. There is a little stomach discomfort sometimes but its not too bad. There is also constipation for about 3 days each week, but I believe its from the colon not moving anything. The med slows digestion. My experience with the med is positive, much more than with Bydureon. That&#039;s was a nightmare. I recently went to a low carb high fat diet and its working even better now. I hope this helps someone out there. PS, And don&#039;t let the doc start you on the higher dose. Ask for samples or rebates because most insurers don&#039;t cover it."""
Liraglutide,"Diabetes, Type 2","""Have been on Victoza for 6  weeks at this time, at the 1.2 dosage.  Experienced the nausea, however, it has subsided, no noticeable headaches, definitely lowered by blood sugars, morning and night times.  Have lost 22 lbs so far.  Am expecting to move up to the 1.8 after
2 months.  I don&#039;t miss the food, and definitely don&#039;t miss the weight."""
Invokana,"Diabetes, Type 2","""It has worked well and I have lost some weight BUT I have been experiencing smelling nail polish remover (acetone) which even sent me scared of DKA to the ER!  Still happening and no explanation.  About to stop taking it because this scares me."""
Exenatide,"Diabetes, Type 2","""So far I am very pleased with my results from taking Bydureon for some 4 months.  I have lost 8 kgs and my Hba1C has gone from 8.9 to 7.   I have lumps but they do gradually go after a period of time, have had some bruising also.   My main concern is the nausea which I still experience spasmodically and absolute lack of appetite.  Certain foods I only have to look at and it is a real turn off.   But I will put up with all the above as I have finally lost some weight by eating minute amounts 6 times a day and my Blood Sugars are the lowest they have been for approximately 3 years and it is so rewarding to hear friends say &quot;you have lost weight, you look great&quot;"""
Insulin lispro,"Diabetes, Type 2","""My insurance company changed to Humalog KwikPen; my short response - IT SUCKS!

The medicine works well, when I actually get it administered, but their crappy pen just does not work properly.  I take 5 to 8 units a few times per day but the pen does not seem to develop enough pressure to push the med into my body."""
Canagliflozin,"Diabetes, Type 2","""I have had reactions to three previous medications.I was hopeful with this one because it works differently.  Started on 100 mg. By day 7 I was starting to feel very fatigued 2 hours after taking the pill. Noticed decrease in urination and blurred vision. Symptoms worsened the next couple of days. Lasted 10 days. Guess I go back to my almost carb free diet."""
Liraglutide,"Diabetes, Type 2","""I have officially been on Victoza for more than a year...I currently take highest dose of 1.8. along with Metformin daily. My A1C is finally normal @ 5.0 - my sugars never higher than 7.0 (even after meals) - I&#039;ve yet to ever experience a episode of hypoglycemia.
After a year there is 45 lbs less of me :) and my desire to be active/healthy again has returned.
I will encourage those that Victoza alone is not solely the answer.....I have family members who also went on Victoza, did not follow diet/exercise and or portion control and the drug only made them feel worse and had no effects. I personally found Victoza a great tool in combo with portion/diet/exercise to truly be the answer I&#039;d been waiting for! Worth a try if you are serious..."""
Victoza,"Diabetes, Type 2","""Made me nauseous."""
Farxiga,"Diabetes, Type 2","""I&#039;ve been on this med for 9 months. I&#039;m also on Victoza, 2000mg Metformin. My a1c has dropped from upper 7&#039;s to 6.5. Blood pressure readings have dropped to normal range. I&#039;ve always had issues with male yeast infections and was concerned when I first started this medicine. I apply a steriod/antifungal cream at the slightest hint of redness, this has kept the issue under control. The more sugar you consume, the more you will urinate. I think I have mentally reduced my sugar intake just knowing that. I&#039;ve lost over 30lbs also."""
Canagliflozin,"Diabetes, Type 2","""Been on it about 5 weeks. 300mg. No yeast infections. Yes peeing more, but for me it is a more normal amount. Before I had to force myself to drink, rarely felt real thirst,  and always felt I retained water especially from eating carbs. Now I drink more and pee more, but manageable. Once at night only.  The best thing I noticed is more energy and slow but sure weight loss on a more normal amount of food. Lost 8lbs so far and waking up in the morning is easier.  More energy means more exercise too. So far, so good. Love it, feel more normal like I did when I was younger"""
Canagliflozin,"Diabetes, Type 2","""I have been type 1 diabetic for 28 years diagnosed at 12 years old, have been on insulin 28 years, 6 years on a pump.  I joined a research study in Nov. 2014, to test Invokana on type 1 diabetics to see if it could help type 1&#039;s.  I am so amazed and happy with this medication!  I have cut down on my insulin a lot, only 9 units of basal for the day!  I lost 6 pounds.  I feel and look great lots more energy.  Yes there is a genital itch problem, I also had hives, which I believe it worth it for great blood sugars and weight loss.  Lucky I am born and raised in Canada where our health insurance covers the cost completely."""
Liraglutide,"Diabetes, Type 2","""My HbAC1 was at 8.5 and I tried many medicine for 4 years and without great success.   I started using Victoza 7 weeks ago.   First 2 weeks, I used 0.6mg and it did not do much for me, hardly noticed the difference.    I increased to 1.2mg the following week.   I try to remember, but I did not remember much side effect.   I did have bruising at the injection site about 4 times, if you even call that side effect.   The morning blood sugar came normal around 7.2.   I lost only 2 kilograms(4 lb) for the fist 30 days.    On the fifth week, I went to 1.8mg.   Now I really start to feel there is no appetite.   I eat every 2 hours for some fruit or other little snacks.   Now, I do have trouble sleeping, but I can live with that.   a total 9lb now"""
Trulicity,"Diabetes, Type 2","""Aside from all of the stomach issues and fatigue, this is now the second time that a box of the pens have been defective.  When you contact the company to report it, they all but call you a liar.  I will be telling my doctor to find another med.  I use other pens and have never had a problem with them.  The secondary issue is now I have used pens ahead of time in the place of defective ones and my insurance will not authorize more pens ahead of time.  The drug company did agree to do a &quot;&quot;&quot;one&quot;&quot;&quot; time replacement of the two pens.  Getting off now because this tells me I am on my own in the future."""
Exenatide,"Diabetes, Type 2","""I&#039;ve been taking Bydureon for 1 month. So far, although I am skeptical by nature, it seems like a miracle. I had been eating Paleo for about 3 months, but was only losing 1 lb per week and still seeing fasting numbers around 150. My doctor put me on Bydureon and I lost 10 lbs just the in the first two weeks, and that included a few freakout days when I was eating Olive Garden, Taco Bell, and Braums ice cream multiple times per day. In one month, I&#039;ve lost a total of 21 lbs, dropping from 263lbs to 242lbs, with no other lifestyle changes. I have not been back yet to check my A1C as doc wants to wait a full three months, but posting numbers of 90 - 100 upon waking and 110 - 120 after meals, it stands to reason this would also have improved greatly."""
Victoza,"Diabetes, Type 2","""Started taking Victoza at minimum dosage and my blood glucose has gone down from the 180&#039;s to between 110 and 140.  I have also lost 4 pounds in just about a week...but diet and exercise is part of the regimen.  No side effects, and looking forward to continued glucose health!"""
Exenatide,"Diabetes, Type 2","""I have been injecting once a week for two months.  I have suferred disgusting belching, lack of appetite, diarrhoea, vomiting.  I am fortunate to be working but I am off sick again because I cannot venture outside of the house because of liquid pouring out of both ends!!   When I vomited this morning a lump of gunk surfaced which I think was the coagulated bydureon.  I am not willing to take this awful drug again.  The side effects do not outweigh benefits."""
Trulicity,"Diabetes, Type 2","""My doctor gave me the injection in his office.  I take no other meds for my diabetes (type 2).  A1C was around 10, triglycerides were 3000, cholesterol was 541.  I also have acute pancreatitis, and later read this med was not good for this pre-existing condition.  That night after the shot, I became ill, lower back pains, an extreme full feeling in my tummy, nausea, and dizziness.  He also prescribed tricore to get my triglycerides down.  I have been sloppy with my diet, and I know what I need to do to change my eating. I honestly can say, after reading other reviews, that this drug scares me, and I wont be buying more.  629 drug interactions I read about on another site and me being fatigued and in a fog for three days, I say no more."""
Invokana,"Diabetes, Type 2","""I started Invokana three months ago after an A1C of 12. I was nervous but wanted to try it. I luckily didn&#039;t have the side effect most have  yeast infections. Strange because I&#039;m very prone to them. I did develop a rash, which still comes &amp; goes. Not horrible though- I use a prescription cream, if needed. My A1C after 3 months on Invokana: 6.7! Still high, I know but huge decrease from 12. I also have lost 40 lbs! I take it with Metformin &amp; Glipozide. I also am following low carb diet- most days. But, prior to Invokana, my sugar levels were high w/Metformin &amp; Glipozide &amp; very low carb diet. So, for me it&#039;s working. Hoping to get closer to 6 in next 3 months - then under 6 by a year. 
Plus, so far it&#039;s been FREE! Big time plus."""
Bydureon,"Diabetes, Type 2","""I found it to be extremely helpful and love the fact I only have to take it once a week.  I am on my 3rd week now.  The needle size is bigger yes but it does not hurt me to stick myself.  It hurts about the same as poking my finger for my blood sugar meter.  I found through the Bydureon website you can get a card to help with the copay.  Its wonderful to know there are manufacturers that are willing to help those who take their medicines.  Also if you use the freestyle meters you can sign up through Abbot to get a free meter and card to save money on the test strips. """
Farxiga,"Diabetes, Type 2","""My side is hurting and painful if I hold my urine or have to hold it for a while . A bowel movement is also painful."""
Tradjenta,"Diabetes, Type 2","""Extreme diarrhea with no warning, very rancid and loud belching with no warning, headaches, joint pain, chills, fevers sometimes, weight gain"""
Metformin,"Diabetes, Type 2","""One month on metformin, No change. Dr changed amount to 1000 mg 2 x day, caused EXTREME itching. Going next week for appt with PCP going off metformin I&#039;m sure."""
Victoza,"Diabetes, Type 2","""I&#039;ve been on Victoza now for just over 2 years. From reading the reviews, I&#039;m one of the lucky ones side-effect wise. In other words, no nausea, increased headaches etc.. I started at .6 and after a month moved up to 1.2 where I have been since that time. I reduced my adjunct Metformin from 1500mg daily to 1000 mg daily. Weight loss has been a nice side effect, especially since it impinges on the illness in the first place. The only issue I have now is that my blood sugar can go low quite easily so will be cutting back the dose to .6 for a test run of a month. Unhealthy high levels of blood sugar are a thing of the past. Hopefully that stays the same at .6."""
Liraglutide,"Diabetes, Type 2","""I was put on this medicine just 6 days ago and I feel great!  Slight headaches and had nausea last night, but my most persistent symptoms are GONE! My fasting blood sugar would always creep overnight to 110 to 120 range.  After my first meal blood sugar would come under control depending on what I ate.  

Now on Victoza I have seen a fasting blood sugar in the 85 to 105 range this week.  As an added bonus I lost 6 pounds in six days.  Hopefully the long term prospects are as favorable as the short term ones have been."""
Trulicity,"Diabetes, Type 2","""No side effects has worked well for me"""
Liraglutide,"Diabetes, Type 2","""Just started Victoza almost a week ago.  I do not have Diabetes Type II but I&#039;m borderline due to my weight and family history.  The nausea is really getting me, I started doing my shot at night and while the nausea improved, I still have terrible tasting burps.  They taste like I just ate a egg Mcmuffin.  They last all day.  So, yes, that is disgusting.  Appetite is much less.  I weighed today and have lost 2lbs.  My PA called me in some Zofran to help with the nausea."""
Invokana,"Diabetes, Type 2","""Took Invokana about 9 months. Glucose numbers were great. Started getting horrible yeast infection. It would not go away even with prescription medication. The itching started vaginal and anus area. I was miserable. No type medication would eradicate the itching. Infection got so bad my good white blood count cells could not fight off the infection in my body. Started feeling weak, extremely thirsty, eating so much ice my ice machine could not keep up with me. Started coughing a lot, short of breath, anemic. body aches, dry hair and skin, plus I still had the yeast smell. Had blood test performed at local hospital. White count cells was 247 thousand, normal is 10 thousand. Diagnosis Cancer Chronic Mylogenous Leukemia, my blood got infected."""
Farxiga,"Diabetes, Type 2","""Took Farxiga for 1 to 3 mos, instantly began having recurrent yeast infections.  Even after stopping the medication the infections continue to come frequently."""
Invokana,"Diabetes, Type 2","""Watch out for sore red penis. It&#039;s a yeast infection because yeast thrives on sugar that is passing in your urine."""
Trulicity,"Diabetes, Type 2","""week 1 shot low dose- GERD kicked in, not really hungry
week 2 shot, GERD worse, burping sulfur all day, still not hungry, nausea, tired all the time
week 3 shot maintenance dose- GERD all time horrible, sulfur burps, diarrhea, nausea, stomach pains, tired all the time, food is revolting
week 4 shot - wish I was dead. All the above now at the extreme -  plus now I&#039;m vomiting, missed work because of it. I will not take it again. Will stick with metformin and start cinnamon again."""
Jardiance,"Diabetes, Type 2","""This medicine has proven in 2 weeks to be good for Water retention, Sugar and its an appetite suppressant.

I noticed in my case thus far it has increased my desire for sweets marginally, no other noticeable side effects yet.

It definitely is an more viable replacement for Lasix   Potassium combination with less side effects."""
Januvia,"Diabetes, Type 2","""For years I was on no drugs for type 2 diabetes, only diet. My a1c test were always around 6.1, and then my dr put me on januvia. My sugars are now averaging 15.7.
The dr has just upped my dose to 1-1/2 pills of januvia and added diaformin. WHY??
From good control with no pills to out of control in 4 months. I&#039;m really starting to doubt the doctors motives."""
Victoza,"Diabetes, Type 2","""I started Victoza a week ago and I have lost 10lbs. I think its brilliant but the only thing is the sickness. EVERY TIME I eat I vomit bit hopefully that wont last much longer. I (was) an insulin taker until I stopped at my own accord after piling on the pounds which is very dangerous. I think this medicine is the best ever. I have tried everything to lose weight and this is all that worked and plus my blood sugars are perfect since I started which they were all unbelievably high. I would say this is a life saver."""
Metformin,"Diabetes, Type 2","""Metformin has side effects like diarrhea, WHEN I have sugar (regular sugar, fructose and artificial sugar - it does not care). Eat poorly, guaranteed to have diarrhea. Also headaches if sugar spikes quickly, again food choices do this. If I just really want a bite of pizza or candy bar, I eat healthy (lots of vegetables and salad, protein) with NO processed foods, NO breads/pasta/potatoes/rice, and at end of meal have 1-2 bites Savor and stop. I give myself a treat ONCE a month. Keep sugars down to 80-130 by diet and one Metformin 500mg a day. Eat too much at a meal, walk or exercise to burn the carbs. Burn too much and you get shaky or a headache. Water is key too. Water pulls sugar down (dilutes and flushes it out of the fat cells."""
Dapagliflozin,"Diabetes, Type 2","""Took this medication for over 6 months with no discernable difference in BS. No side effect, however on Medicare the charges increase to over $ 500.00 per month in the  Doughnut Hole - without a discount available. Stopped taking it after reading some very negative reviews of this Drug and the Approval Process."""
Basaglar,"Diabetes, Type 1","""Moved from levemir to basaglar as my insurance &quot;Discovery Medical Aid&quot; won&#039;t cover levemir. Been using basaglar for about 3 weeks now. It&#039;s been horrible so far. It appears to peak after 10 hours so that made it unpredictable given how they say it should work. I halved the dose to counter the hypo&#039;s but now sugars are higher than usual any other time. I feel out of focus and dizzy.  My chest feels &quot;fluish&quot;.  I am considering going back to levemir and paying the large copayment."""
Trulicity,"Diabetes, Type 2","""I&#039;ve been DM Type 2 for 15 years and in the last 2 years taking Levemir, Novolog and Janumet.  My last A1c was 9.1.  I started having abdominal upset and diarrhea from the Metformin in the Janumet, so my Doctor took me off of  Janumet  He started me on once weekly Trulicity (.75 mg) 2 weeks ago.  Already I&#039;ve seen significant changes in my blood sugars: 110-140 (fasting) and 85-170 (post meals). As a result, I&#039;m taking 1/2 the dosage of Levemir and less Novolog prior to meals.  I&#039;m hoping to come off insulin.  After starting Trulicity, I had some upper abdominal soreness and stomach cramping, but those symptoms have improved.  I have NOT had any diarrhea or nausea.  My appetite has decreased because I feel full all the time.  So far so good!"""
Canagliflozin,"Diabetes, Type 2","""I took invokana for 9 months after being diagnosed with type 2 diabetes last December. I also changed my eating habits, no junk ,no fried foods, no soda, no sweets and low carb. I lost 47 pounds not sure how much the invokana helped with that .  I did get a wicked yeast infection that never went away .  After researching invokana and realizing how bad some of the side effects can be (kidney cancer or kidney failure), I asked Dr to take me off it, he did as long as I&#039;m keeping blood sugar down in normal range . It&#039;s been 3 months and so far I&#039;m controlling it with diet and exercise. I test my own blood sugar every day and its in normal range. I&#039;d rather do it this way as long as I can. Invokana wasn&#039;t worth the risk, rather try metformin."""
Liraglutide,"Diabetes, Type 2","""I was on insulin but couldn&#039;t get my A1C down.  It was 8.9 so she put me on Jentadueto and Victoza.  The first 2 days I was really sick. 3rd day (today) I vomited so bad I was about to give up then decided to try taking the Victoza at bedtime instead of morning. Will see if it works.  The first day I didn&#039;t eat a thing.  It totally makes you not want to eat ANYTHING.  I actually had to force myself to eat a banana this morning and that&#039;s when I vomited.  I hope these side effects go away because I think this is the right medicine for weight loss. I&#039;m still taking Novalog once a day if my blood sugar is over 150.  Will update soon."""
Bydureon,"Diabetes, Type 2","""No side effects yet. On my third month, just started noticing that I am not hungry. I have gain 20 lbs since I started, but I was off all medications for six month, urinating every 1/2 hr. Ate dinner out last night, my first time ever taking a doggy bag. I have a lot of bumps at the injection sights that have not gone away or gotten smaller. These are mostly when I inject in the upper abdominal region. My doctor does not know what they are, I am her first patient on Bydureon."""
Jardiance,"Diabetes, Type 2","""I took jardiance for about 3 months. During that time I lost over a stone and felt much livelier. But my blood sugar went up slightly, so doc refused to prescribe me any more. They then forced me onto victoza which is making me I&#039;ll. I had no bad side effects with jardiance. Yes I used to pee more, but at least it got rid of the  diarrhea I had before taking it. No thrush or anything, though the doc was hoping I&#039;d get thrush so they could stop it. The docs seem to be completely against these for some reason. Trying to get it back."""
Bydureon,"Diabetes, Type 2","""This drug is horrible and I&#039;m about to go to the ER I think I have pancreatitis the doc said I&#039;d lose weight but I&#039;ve gained weight since I&#039;ve been on it I&#039;ve craved sugar like never before and if I don&#039;t get sugar I get super crabby and irritated and all I wanna do when I&#039;m not crabby is sleep. The stomach pains is so severe too"""
Victoza,"Diabetes, Type 2","""I had a hard time assigning a numerical rating. On one hand, Victoza seemed like magic in that it lowered my sugars so reliably, and instantly. It almost seemed like validation that I wasn&#039;t doing anything &quot;wrong&quot;--my body needed help w/sugar metabolism. That earns a 10. On the other hand, I have to take into account quality of life. NEVER have I been so sick, for so many days consistently/consecutively. I am not a person who gets sick easily. I do not miss work due to illness. I function thru colds,upset stomach,headaches,muscle pain--you name it. Victoza knocked me on my butt. I was sick every day for 3 weeks. All same sx&#039;s as everybody else. There are NOT mild. I stopped it b4 I even got to 1.8 dose. Not reasonable. My body said hell no."""
Insulin glargine,"Diabetes, Type 1","""I absolutely hate this pen. It jams up every time I use it. I have already voiced my complaint with my pharmacist and I will be asking to switch back to my previous lantus supplier."""
Victoza,"Diabetes, Type 2","""I have been on victoza for about a month and have lost 10lbs. No real problems don&#039;t eat much but I like it. Think about going up on it and see how that does."""
Trulicity,"Diabetes, Type 2","""I&#039;ve been on Trulicity for about a year.  Started with .75 but now up to the 1.5 dose weekly.  I find that my side effects actually come and go.  I will go weeks without the sulfur burps, but then out of nowhere they will show up again (like now).  It&#039;s done a great job lowering my A1C, but be careful not to overeat, or your body will be unhappy.  Unable to find the sulfur burp trigger but still looking.  For me, the benefits outweigh the negatives."""
Victoza,"Diabetes, Type 2","""I took victoza for well over a year, and it improved my blood sugar readings tremendously.  My A1C had been as high as 9, and it got down to 6.9 with victoza.  However, I was sick SO MUCH! Constant diarrhea, burping (the nasty, boiled egg kind), and extreme nausea and vomiting.  I finally started tracking my sick days, and  in one month I was sick 4 days.  And by sick, I mean throwing up every few minutes, all day long. I had several tests done, and the only thing discovered was that I digest food slower than normal, which is what victoza is designed to do, I decided it was probably the victoza making me so sick.  I stopped taking it completely, and have not been sick for over month. Blood sugars are not good now, so waiting to see my Dr."""
Amaryl,"Diabetes, Type 2","""I was on Lantus Solostar and Metformin twice daily max dosage.  Sugar counts were still 300 and 200.  I was so frustrated because the insulin and supplies are extremely expensive with my HSA plan.  Basically, my problem did not improve and I was broke.  I ran out of insulin and did not have the money to refill.  My dr&#039;s apt was three weeks later.  I explained my low funds situation and promised to fill the Rx as soon as I received my next pay check.  She said &quot;Let&#039;s try a cheaper option for you&quot;.  I said &quot;Woo hoo! Let&#039;s!&quot;.  She prescribed Glimeperide.  I took a half pill for days 1 and 2.  No change.  I took the entire pill days 3 &amp; 4...better...but not much.  I take two pills daily now, and I see IMPROVEMENT! WOO HOO!"""
Canagliflozin,"Diabetes, Type 2","""I am a 39 year old female who has had type two diabeties for for 15 years.  My last A1c was 10.5.  My doctor put me on Invokana and I havent had a blood sugar reading above 200 since I started the 100mg.  I have just increased to 300.  I did my research on this drug because I am very suseptable to yeast infections. Do your research. First you MUST drink plenty of water on this medication or you will feel ill.  For women take a probiotic I take one and this has kept the yeast away.  Also you can try Oil of Oregano to help. I haven&#039;t had my A1C checked yet as I have only been on this medication for one month.  Ask your doctor for the prescription savings card which will bring your price to ZERO."""
Glimepiride / rosiglitazone,"Diabetes, Type 2","""I love this medication  I have been taking it for 6 years with no problems at all.  Now I have been taken off it due to all the warnings and nothing is working quite like it. Hence the desire to be able to take it again"""
Dapagliflozin,"Diabetes, Type 2","""I was able to take this medication for 6 weeks. Two weeks were from my doctors samples, and I was able to purchase an additional month. For the first time I was experiencing wonderful control of my diabetes. I must also say, I had gastric sleeve surgery (stomach stapling) almost a year ago. I wanted to try this medication when my A1c was not going down fast enough, with my weight loss.
Unfortunately I will no longer be able to take Farxiga. I am on Social Security, and the price of this drug will send me into the &quot;donut hole&quot; very rapidly. When that happens, and I believe that to be by June 2016, I will be forced to pay the full cost of ALL my meds, out of pocket.  I am not eligible for any help from anyone. This is extremely upsetting."""
Dulaglutide,"Diabetes, Type 2","""Took my first dose 4 days ago,
Having indigestion and nausea. Hoping I can lose some weight on this because it does kill cravings. I was on tanzeum and had absolutely no side effects but it is cost prohibitive. Can get this for free with mfr. coupon. Hoping the nausea goes away- its like morning sickness ladies!"""
Tanzeum,"Diabetes, Type 2","""Been taking this drug for 9 months w/o side effects. Sugar levels dropping, and having gradual weight loss."""
Jardiance,"Diabetes, Type 2","""I have been taking Jardiance from March.  I have had a significant drop in HBA1C and I have lost 21lbs.  I pee and drink alot but it is worth it to reduce the sugar levels. I also experience back pain with this.  However, I was very insulin resistant and can live with the side affects to help this."""
Victoza,"Diabetes, Type 2","""I have been on Victoza for about a year now.  I started with the small dose.  Could never advance to the full dose due to the side effects.  My doctor ran a A1C and my blood sugars had gone from 8.8 to 6.7.  We decided to stay at the starter dose.  I take the injection in the evening at dinner time.  I still get the headache and nausea but it is mostly during sleep and wake up to it.  I usually will get up, have coffee and ride it out for about an hour and get ready for work.  Nausea gone headache dull and barely noticeable.  It&#039;s worth the frustration to me"""
Dulaglutide,"Diabetes, Type 2","""I started Trulicity 3 weeks ago and have not experienced any noticeable side effects. That said, I have been following a very strict low carb diet that has been predominantly vegan. I have a feeling that carb rich foods and heavy animal protein foods exacerbate the GI side effects. I am also on 2000 mg of metformin. I have heard that GI side effects are horrible with glucose lowering drugs but I suspect it has A LOT to do with what people are eating...."""
